Car,Model,Volume,Weight,CO2
Toyoty,Aygo,1.000,790,99
Mitsubishi,Space Star,1.200,1160,95
Skoda,Citigo,1.000,929,95
Fiat,500,0.900,865,90
Mini,Cooper,1.500,1140,105
VW,Up!,1.000,929,105
Skoda,Fabia,1.400,1109,90
Mercedes,A-Class,1.500,1365,92
Ford,Fiesta,1.500,1112,98
Audi,A1,1.600,1150,99
Hyundai,I20,1.100,980,99
Suzuki,Swift,1.300,990,101
Ford,Fiesta,1.000,1112,99
Honda,Civic,1.600,1252,94
Hundai,I30,1.600,1326,97
Opel,Astra,1.600,1330,97
BMW,1,1.600,1365,99
Mazda,3,2.200,1280,104
Skoda,Rapid,1.600,1119,104
Ford,Focus,2.000,1328,105
Ford,Mondeo,1.600,1584,94
Opel,Insignia,2.000,1428,99
Mercedes,C-Class,2.100,1365,99
Skoda,Octavia,1.600,1415,99
Volvo,S60,2.000,1415,99
Mercedes,CLA,1.500,1465,102
Audi,A4,2.000,1490,104
Audi,A6,2.000,1725,114
Volvo,V70,1.600,1523,109
BMW,5,2.000,1705,114
Mercedes,E-Class,2.100,1605,115
Volvo,XC70,2.000,1746,117
Ford,B-Max,1.600,1235,104
BMW,216,1.600,1390,108
Opel,Zafira,1.600,1405,109
Mercedes,SLK,2.500,1395,120
